"author","title","description","url","urlToImage","publishedAt","content","id","name"
"Mariel Soto Reyes","Facebook is developing a new standalone Snapchat-like messaging app called 'Threads' (FB, SNAP)","This is an excerpt from a story delivered exclusively to Business Insider Intelligence Digital Media Briefing subscribers. To receive the full story plus other insights each morning, click here. Facebook is developing a new standalone messaging app called "" T…","https://www.businessinsider.com/facebook-launching-snapchat-like-app-threads-2019-8","https://amp.businessinsider.com/images/5bfc5535da27f820ec474bf9-2732-1366.jpg","2019-08-28T14:28:00Z","Facebook is developing a new standalone messaging app called "" Threads,"" per The Verge. Designed as a companion app to Instagram, Threads is meant to facilitate communication between Instagram users and their ""close friends,"" allowing them to share their loca… [+3370 chars]","business-insider","Business Insider"
"Amanda Perelli","Beauty mogul Huda Kattan, who is worth $610 million, says buying Facebook ads helped boost her company's international growth","Beauty mogul Huda Kattan, who runs her multi-million-dollar cosmetics line Huda Beauty with her family and two sisters (Mona and Alya), said Facebook helped her company take off and shared why she choose the platform for her Facebook Watch original series, ""H…","https://www.businessinsider.com/influencer-huda-kattan-talks-facebook-watch-huda-boss-beauty-advertising-2019-8","https://amp.businessinsider.com/images/5d659da92e22af139a2ff7d5-2732-1366.jpg","2019-08-28T16:27:38Z","Huda Kattan, the 35-year-old beauty mogul worth over $600 million, said buying $10 ads on Facebook helped boost her company toward its international success. 
 Huda launched her beauty blog in 2010, the same year that Instagram debuted, but her empire really… [+2682 chars]","business-insider","Business Insider"
"Isobel Asher Hamilton","Mark Zuckerberg has dumped $296 million worth of Facebook shares so far this month (FB)","Mark Zuckerberg has sold almost 1.6 million Facebook shares so far this month, at a value of $296 million, CNBC reports. He's sold a total of 2.9 million shares in 2019, equivalent to $526 million. Zuckerberg said in 2017 he planned to sell between 35 and 75 …","https://www.businessinsider.com/mark-zuckerberg-sells-296-million-facebook-shares-august-2019-8","https://amp.businessinsider.com/images/5c80f43c26289858ad136b16-2732-1366.jpg","2019-08-23T11:02:20Z","Facebook's CEO has dumped hundreds of millions of dollars worth of Facebook shares this month. 
 SEC filings show that so far this month Mark Zuckerberg has nearly 1.6 million Facebook shares, CNBC reports. This amounts to almost $296 million the tech mogul … [+1183 chars]","business-insider","Business Insider"
"Alexandra Ma","US officials are reportedly trying to block an 8,000 mile, Google and Facebook-backed undersea cable to China on national security grounds","An 8,000-mile undersea cable connecting Los Angeles to Hong Kong is at risk of being abandoned over national-security threats, The Wall Street Journal reported. A multiagency panel led by the Justice Department, known as Team Telecom, has raised objections to…","https://www.businessinsider.com/us-officials-may-undersea-cable-china-google-facebook-backed-wsj-2019-8","https://amp.businessinsider.com/images/5acc81aa4d038619008b4e82-1136-568.png","2019-08-28T13:15:42Z","US officials are seeking to block an undersea internet cable linking the US to China over national security concerns, The Wall Street Journal reported Wednesday, citing people involved in the discussions. 
 The multiagency panel led by the Department of Just… [+2790 chars]","business-insider","Business Insider"
"Shona Ghosh","10 things in tech you need to know today","Good morning! This is the tech news you need to know this Friday. Instagram is facing pressure from Facebook to grow its ad business and has noticeably upped its focus on monetization after the departure of its cofounders last year. According to The Informati…","https://www.businessinsider.com/10-things-in-tech-you-need-to-know-today-august-23-2019-8","https://static.businessinsider.com/image/5d5f8f46ad2b474a016d6fc2-750.jpg","2019-08-23T07:01:37Z","Hollis Johnson/Business Insider 
Good morning! This is the tech news you need to know this Friday. 
<ol><li> Instagram is facing pressure from Facebook to grow its ad business and has noticeably upped its focus on monetization after the departure of its cof… [+3308 chars]","business-insider","Business Insider"
"Mariel Soto Reyes","Here's a breakdown of how social platforms are combating disinformation surrounding the Hong Kong protests","This is an excerpt from a story delivered exclusively to Business Insider Intelligence Digital Media Briefing subscribers. To receive the full story plus other insights each morning, click here. As the Hong Kong protests continue, social media is playing an i…","https://www.businessinsider.com/social-platforms-tackle-disinformation-around-hong-kong-protests-2019-8","https://amp.businessinsider.com/images/5d63df352e22af05901a6bec-2732-1366.jpg","2019-08-26T13:58:00Z","As the Hong Kong protests continue, social media is playing an increasingly controversial role: The Chinese government has been utilizing sites like Facebook, Twitter, and YouTube in attempts to sow public doubt and spread disinformation surrounding the root … [+3652 chars]","business-insider","Business Insider"
"Bethany Biron","Old Navy employees of color allege they were replaced with an all-white crew during filming of 'Queer Eye'","Employees of color at an Old Navy store in Philadelphia allege that they were replaced with an all-white crew and asked to stay away from filming of the most recent season of Netflix's ""Queer Eye,"" according to a report from Philadelphia magazine. ""I felt the…","https://www.businessinsider.com/old-navy-accused-of-racism-queer-eye-filming-philadelphia-2019-8","https://amp.businessinsider.com/images/5d66bd2f2e22af18947075a8-2732-1366.jpg","2019-08-28T18:23:29Z","Though Netflix's hit show ""Queer Eye"" continues to bring fans to tears around the nation with its message of self-acceptance and inclusivity, an Old Navy store featured on an upcoming season of the show has been accused of racist behavior during filming. 
 A… [+3113 chars]","business-insider","Business Insider"
"Lucia Moses","Ev Williams' Medium has hired a veteran publishing exec as it seeks to grow paid subscriptions, stirring speculation it's trying to take on Apple News","Ev Williams' Medium has hired a seasoned publishing exec as it seeks to grow paid subscriptions. Former longtime BuzzFeed exec Scott Lamb is the new VP of publisher growth and strategy, reporting to Siobhan O'Connor, VP of editorial. The hire stirred speculat…","https://www.businessinsider.com/medium-hired-a-buzzfeed-vet-as-it-seeks-subscription-growth-2019-8","https://amp.businessinsider.com/images/5d5f06082e22af16db5469a5-1920-960.jpg","2019-08-23T11:00:00Z","Ev Williams' Medium has hired a seasoned publishing exec to help build its paid-subscription strategy, stirring speculation among insiders that the blogging platform may ramp up its efforts to pay publishers and even try to take on Apple News. 
 Scott Lamb w… [+4095 chars]","business-insider","Business Insider"
"Audrey Schomer","Samsung's sponsorship of a controversial Instagram influencer highlights the risk of misaligned partnerships (SSNLF)","This is an excerpt from a story delivered exclusively to Business Insider Intelligence Digital Media Briefing subscribers. To receive the full story plus other insights each morning, click here. Yesterday Taylor Lorenz — former reporter at The Atlantic coveri…","https://www.businessinsider.com/samsung-influencer-snafu-highlights-risks-of-misaligned-partnerships-2019-8","https://amp.businessinsider.com/images/5d6002e12e22af61aa4711d5-2732-1366.jpg","2019-08-23T15:30:00Z","Yesterday Taylor Lorenz — former reporter at The Atlantic covering internet culture, soon to join The New York Times — tweeted out a screenshot of a Samsung-sponsored Instagram post from the influencer known as GirlWithNoJob (GWNJ). 
 Business Insider Intell… [+3815 chars]","business-insider","Business Insider"
"Isobel Asher Hamilton","10 things in tech you need to know today","Good morning! This is the tech news you need to know this Tuesday. Tim Cook said Apple will be donating to help preserve the Amazon in the wake of devastating forest fires. Scientists have already recorded more than 74,000 fires in Brazil this year, almost do…","https://www.businessinsider.com/10-things-in-tech-you-need-to-know-today-august-27-2019-8","https://amp.businessinsider.com/images/5d62e8c92e22af02556aeb24-1136-568.jpg","2019-08-27T06:43:19Z","Tim Cook promised Apple will donate to the Amazon.
 Reuters 
Good morning! This is the tech news you need to know this Tuesday. 
<ol><li> Tim Cook said Apple will be donating to help preserve the Amazon in the wake of devastating forest fires. Scientists h… [+2688 chars]","business-insider","Business Insider"
"Danny Bakst","Popular fantasy football platform FanDuel is offering $20 to new users who sign up in September — here's how to sign up and get started","Regardless of how the old guard may feel, fantasy football is now a huge aspect of NFL football. Fantasy has altered the way fans watch and digest games, and even how the media covers the league. While fantasy leagues have been around in some shape or form si…","https://www.businessinsider.com/fanduel-explainer-how-to-play-daily-fantasy-football","https://amp.businessinsider.com/images/5d682a0c2e22af2a393b2be3-1536-768.jpg","2019-08-29T21:20:51Z","After a long summer, football is finally back. Millions of fans across the world will tune in September 5 as the NFL kicks off the 2019/2020 season. But fans are no longer watching solely for the love of the game. Due to the rise in popularity of fantasy foot… [+1686 chars]","business-insider","Business Insider"
"Alexandra Ma","Muslims in China's most oppressed, closed-off region are turning to China's version of Gen Z favorite TikTok to communicate with the world","Uighurs in Xinjiang, the most oppressed and closed-off region in China, are using popular video-sharing app Douyin to tell the outside world about their plight. Douyin is the Chinese version of TikTok, the video-sharing app popular among Generation Z. They're…","https://www.businessinsider.com/china-uighurs-tiktok-douyin-communicate-oppression-2019-8","https://amp.businessinsider.com/images/5d600d2c91b6f66ab86a0a46-1334-667.jpg","2019-08-25T10:06:00Z","Muslims in the most oppressed and closed-off region in China are using the country's version of TikTok, the video-sharing app popular among Generation Z, to tell the world about the government's abuse. 
 Dozens of people from the Uighur ethnic minority have … [+5603 chars]","business-insider","Business Insider"
"James Stout","I was a professional cyclist, and these are the bike helmets I trust most for safety on the road and the trail — here's why they're worth the investment","Swedish bike helmet company POC offers helmets for every discipline, from road racing to casual commuting. Alongside its impact protection, high-visibility color options help cyclists be safer by being seen more easily. They're the helmets I trust most as a c…","https://www.businessinsider.com/poc-bike-helmets-review","https://amp.businessinsider.com/images/5d5d4068cd9784639f37e176-1136-568.jpg","2019-08-29T14:51:00Z","Swedish sport-safety brand POC burst onto the cycling scene seven years ago with a series of helmets that, at the time, were widely hailed as looking far too goofy for any fashion-conscious cyclist. Early POC time-trial helmets bore more similarities to the S… [+6039 chars]","business-insider","Business Insider"
"Daniel Strauss","GOLDMAN SACHS: These are the 12 stocks most loved by hedge funds","Hedge funds disclosed their most recent holdings in public filings earlier this month, providing a window into which companies some of the world's most successful money managers are betting on. Goldman Sachs put together a list of the stocks that appear most …","https://www.businessinsider.com/stock-picks-to-buy-12-companies-hedge-funds-love-goldman-2019-8","https://amp.businessinsider.com/images/5c12756e0999dd5220448ab3-1920-960.jpg","2019-08-23T20:51:51Z","Earlier this month, hedge funds revealed which public companies they bought and sold during the second quarter. 
 Hedge funds are required to disclose stakes in public companies four times a year, following the end of each quarter. Goldman Sach's created a l… [+923 chars]","business-insider","Business Insider"
"Sherin Shibu","These 15 major US companies are showing that gender diversity is key to outperforming the competition","Gender diversity has become an important priority for investors and executives. That's because firms that are more gender diverse have been shown to outperform their less-diverse counterparts. Morgan Stanley recently published a report on this topic, which in…","https://www.businessinsider.com/morgan-stanley-ranking-of-leaders-in-gender-diversity-2019-8","https://amp.businessinsider.com/images/5d5eaa1fcd978421336e1b27-1920-960.jpg","2019-08-26T15:53:00Z","Firms that prioritize equal representation actually outperform firms that are less diverse. 
 That's according to Morgan Stanley's research on gender diversity, which identifies the difference in performance, through average returns, as 2.8% annually — which… [+1260 chars]","business-insider","Business Insider"
"Devon Delfino","How to go live on YouTube on your computer or mobile device – though you'll need 1,000 subscribers to live stream on mobile","In order to go live on YouTube, you have to first activate the feature — this takes 24 hours to complete and requires you to have a verified account. You can go live on YouTube on your computer or the mobile app, but only those with at least 1,000 subscribers…","https://www.businessinsider.com/how-to-go-live-on-youtube","https://amp.businessinsider.com/images/5d5ffc669563f45a687ce724-1920-960.jpg","2019-08-23T15:48:00Z","Live streaming on YouTube can help creators make more personal connections with their audience, but there is a bit of prep work required before you can take advantage of the feature. 
 For example, you should be aware that it takes 24 hours to activate your … [+2460 chars]","business-insider","Business Insider"
"Meira Gebel","9 of the biggest pivots in tech history, from Nintendo to Instagram","When a company pivots, it usually means it is changing its business strategy to attract more customers, lower its spending, and increase profits. Some of the most famous and influential tech companies in the world have made 180-degree turns from the paths the…","https://www.businessinsider.com/tech-company-biggest-pivots-nintendo-instagram-amazon-2019-8","https://amp.businessinsider.com/images/5d67ef1f2e22af453c5b85a7-1920-960.jpg","2019-08-29T15:29:00Z","In the early 1900s, Nintendo grew to be the largest card-selling business in Japan. By the 1950s, the company turned from hand-crafted cards to plastic ones, some with Disney characters on them. 
 In the 1960s, the company tried its hand at a taxi service an… [+514 chars]","business-insider","Business Insider"
"Lauren Johnson","'They know the lingo': Ad-tech firms are on a hiring blitz for TV salespeople in the race to own OTT advertising","Ad-tech firms like The Trade Desk, ZypMedia and SpotX are hiring salespeople from television networks like Fox Networks Group and Tegna who have relationships with ad buyers and get the decades-old TV advertising business. The ad-tech companies say there's pl…","https://www.businessinsider.com/ad-tech-firms-hiring-blitz-for-tv-salespeople-2019-8","https://amp.businessinsider.com/images/5d66c1e22e22af14f97eb933-2732-1366.jpg","2019-08-28T19:29:51Z","Advertising-tech companies see a growing opportunity to grab ad budgets that are moving from TV to streaming video, and they're hiring network salespeople to pull it off. 
 The Trade Desk, TripleLift, Innovid, and ZypMedia are among companies that have hired… [+4826 chars]","business-insider","Business Insider"
"Lauren Johnson","Ad-tech firm TripleLift has hired a top Fox sales exec to shake up the $70 billion-TV advertising industry as media giants prepare new streaming services","Ad-tech firm TripleLift is building new ad products for forthcoming streaming services from companies like WarnerMedia, Disney, and Quibi. To spearhead the new business, the company has hired Michael Shields from Fox Networks Group. Shields helped Fox launch …","https://www.businessinsider.com/triplelift-hires-top-fox-sales-exec-michael-shields-2019-8","https://amp.businessinsider.com/images/5d6439b42e22af119f3ac367-960-480.jpg","2019-08-27T11:00:00Z","Advertisers are capitalizing on the direct-to-consumer streaming services boom. 
 As big media companies like WarnerMedia, Disney, and the Jeffrey Katzenberg-backed Quibi prepare streaming services to compete with Netflix and Hulu, ad-tech firm TripleLift is… [+3420 chars]","business-insider","Business Insider"
"Jennifer Polland","50 mouthwatering photos of street food in Singapore","Singapore reigns as the world's most expensive city for the fifth year in a row. Despite its status, the country is also known for its inexpensive street food. From delectable chili crab to rice cake topped with savory vegetables, Singapore boasts a variety o…","https://www.businessinsider.com/street-food-in-singapore-2014-3","https://amp.businessinsider.com/images/5d601ae5cd97847a2e7ab3e2-1536-768.jpg","2019-08-23T17:05:00Z","Singapore is officially one of the most expensive cities in the world, according to the Economist Intelligence Unit's annual report. 
 But that doesn't mean you have to blow a ton of cash on fantastic food in Singapore. 
 While Singapore has plenty of five-… [+480 chars]","business-insider","Business Insider"
